priority,product_id,product_name,category,subcategory,image_ref,issue_type,recommended_action,source_url,source_page,license
P1,PROD-0132,Adjustable draw latch,Industrial Hardware,Latches,assets/product_images/real/prod-0132-curated-prod-0131-curated-prod-0139-toggle-clamp-horizontal-hold-down.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0133,Folding pull handle,Industrial Hardware,Handles,assets/product_images/real/prod-0133-folding-pull-handle.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0134,Star knob threaded insert,Industrial Hardware,Knobs,assets/product_images/real/prod-0134-curated-prod-0131-curated-prod-0139-toggle-clamp-horizontal-hold-down.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0135,Swivel leveling foot,Industrial Hardware,Leveling Feet,assets/product_images/real/prod-0135-swivel-leveling-foot.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0136,Compression spring assortment,Industrial Hardware,Springs,assets/product_images/real/prod-0136-compression-spring-assortment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0137,Rare-earth cup magnet,Industrial Hardware,Magnets,assets/product_images/real/prod-0137-curated-prod-0131-curated-prod-0139-toggle-clamp-horizontal-hold-down.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0138,Tubular equipment handle,Industrial Hardware,Handles,assets/product_images/real/prod-0138-tubular-equipment-handle.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0139,Toggle clamp horizontal hold-down,Industrial Hardware,Clamps,assets/product_images/real/prod-0139-toggle-clamp-horizontal-hold-down.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0140,Wire rope clip galvanized,Industrial Hardware,Cable Hardware,assets/product_images/real/prod-0140-wire-rope-clip-galvanized.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0141,Industrial carton sealing tape,Packaging & Shipping,Tape,assets/product_images/real/prod-0141-curated-prod-0145-heavy-duty-corrugated-box-bundle.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0142,Machine stretch film roll,Packaging & Shipping,Stretch Film,assets/product_images/real/prod-0142-curated-prod-0141-curated-prod-0145-heavy-duty-corrugated-box-bundle.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0143,Polyester strapping coil,Packaging & Shipping,Strapping,assets/product_images/real/prod-0143-curated-prod-0141-curated-prod-0145-heavy-duty-corrugated-box-bundle.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0144,Fragile handling labels,Packaging & Shipping,Labels,assets/product_images/real/prod-0144-curated-prod-0141-curated-prod-0145-heavy-duty-corrugated-box-bundle.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0145,Heavy-duty corrugated box bundle,Packaging & Shipping,Boxes,assets/product_images/real/prod-0145-heavy-duty-corrugated-box-bundle.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0146,Kraft paper void fill roll,Packaging & Shipping,Cushioning,assets/product_images/real/prod-0146-kraft-paper-void-fill-roll.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0147,Cardboard edge protector,Packaging & Shipping,Edge Protection,assets/product_images/real/prod-0147-cardboard-edge-protector.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0148,Packing list envelope case,Packaging & Shipping,Packing Lists,assets/product_images/real/prod-0148-packing-list-envelope-case.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0149,Pallet top sheet roll,Packaging & Shipping,Pallet Supplies,assets/product_images/real/prod-0149-curated-prod-0141-curated-prod-0145-heavy-duty-corrugated-box-bundle.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0150,Steel strapping dispenser cart,Packaging & Shipping,Dispensers,assets/product_images/real/prod-0150-steel-strapping-dispenser-cart.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
