product_id,SKU / Pioneer part number,manufacturer,manufacturer_part_number,product_name,category,subcategory,description,specs,unit_of_measure,quantity_in_stock,reorder_point,price,customer_specific_price,image_ref,lead_time,warehouse_location,is_icc_supply,tags,safety_stock_status
RPL-0086,9114645406625,DuPont,9114645406625,".005 in WC Mylar Tape, 0.406 in x 350 ft",Specialty Tapes & Films,Specialty Tape,"DuPont WC Mylar polyester film tape, 0.005 inch thickness, 0.406 inch wide x 350 ft long. For slot liner, phase separator, and turn insulation in electrical motor windings.","{'Width': '0.406 in', 'Length': '350 ft', 'Material': 'WC Polyester Film', 'Thickness': '0.005 in', 'Application': 'Motor Winding Insulation'}",Roll,80,20,16.18,16.18,https://www.electro-wind.com/web-files/Web-pics/3M/3m56.jpg,3-5 business days,R6-02,FALSE,replit-import;replit-id-86;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0087,911464MYL5X250,DuPont,911464MYL5X250,".005 in WC Mylar Tape, 0.25 in x 350 ft",Specialty Tapes & Films,Specialty Tape,"DuPont WC Mylar polyester film tape, 0.005 inch thickness, 0.25 inch wide x 350 ft long. Narrowest standard width for precision motor winding insulation applications.","{'Width': '0.25 in', 'Length': '350 ft', 'Material': 'WC Polyester Film', 'Thickness': '0.005 in', 'Application': 'Motor Winding Insulation'}",Roll,80,20,14.99,14.99,https://www.electro-wind.com/web-files/Web-pics/3M/3m56.jpg,3-5 business days,R6-03,FALSE,replit-import;replit-id-87;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0089,THERM10PSTX75,Von Roll,THERM10PSTX75,"Von Roll Thermal H10 PSA Glass Cloth Tape, 3/4 in x 36 yd",Specialty Tapes & Films,Specialty Tape,"Von Roll Thermal H10 Acrylic Pressure Sensitive Adhesive varnished fiberglass glass cloth tape. 10 mil thickness, 3/4 inch wide, 36-yard roll. Used for binding, bracing, and insulating motor coils. Excellent heat resistance.","{'Width': '3/4 in', 'Length': '36 yd', 'Adhesive': 'Acrylic PSA', 'Material': 'Varnished Glass Cloth', 'Thickness': '10 Mil'}",Roll,35,9,25.78,25.78,https://m.media-amazon.com/images/I/81+Zx3H4uuL.jpg,3-5 business days,R6-04,FALSE,replit-import;replit-id-89;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0090,THERM10PSX100,Von Roll,THERM10PSX100,"Von Roll Thermal H PSA Glass Cloth Tape, 1 in x 36 yd",Specialty Tapes & Films,Specialty Tape,"Von Roll Thermal H Acrylic Pressure Sensitive Adhesive varnished fiberglass glass cloth tape. 10 mil thickness, 1 inch wide, 36-yard roll. Ideal for binding, bracing, and insulating motor and transformer coils.","{'Width': '1 in', 'Length': '36 yd', 'Adhesive': 'Acrylic PSA', 'Material': 'Varnished Glass Cloth', 'Thickness': '10 Mil'}",Roll,35,9,33.94,33.94,https://m.media-amazon.com/images/I/81+Zx3H4uuL.jpg,3-5 business days,R6-05,FALSE,replit-import;replit-id-90;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0091,3M56X25,3M,3M56X25,"3M 56 Polyester Electrical Tape, 1/4 in x 72 yd x 2.3 Mil, Yellow",Specialty Tapes & Films,Specialty Tape,"3M 56 is a heat-resistant polyester electrical tape with rubber adhesive. 2.3 mil thickness, 1/4 inch wide, 72-yard roll in yellow. Used for wrapping motor and transformer coils. Excellent dielectric and mechanical properties.","{'Color': 'Yellow', 'Width': '1/4 in', 'Length': '72 yd', 'Material': 'Polyester Film', 'Max Temp': '130 C', 'Thickness': '2.3 Mil'}",Roll,120,30,6.70,6.70,https://images-na.ssl-images-amazon.com/images/I/510oMYUX41L.jpg,3-5 business days,R6-06,FALSE,replit-import;replit-id-91;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0092,3M56X50,3M,3M56X50,"3M 56 Polyester Electrical Tape, 1/2 in x 72 yd x 2.3 Mil, Yellow",Specialty Tapes & Films,Specialty Tape,"3M 56 heat-resistant polyester electrical tape with rubber adhesive. 2.3 mil thickness, 1/2 inch wide, 72-yard roll in yellow. Standard width for motor and transformer coil wrapping applications.","{'Color': 'Yellow', 'Width': '1/2 in', 'Length': '72 yd', 'Material': 'Polyester Film', 'Max Temp': '130 C', 'Thickness': '2.3 Mil'}",Roll,120,30,15.16,15.16,https://images-na.ssl-images-amazon.com/images/I/510oMYUX41L.jpg,3-5 business days,R6-07,FALSE,replit-import;replit-id-92;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0093,3M56X100,3M,3M56X100,"3M 56 Polyester Electrical Tape, 1 in x 72 yd x 2.3 Mil, Yellow",Specialty Tapes & Films,Specialty Tape,"3M 56 heat-resistant polyester electrical tape with rubber adhesive. 2.3 mil thickness, 1 inch wide, 72-yard roll in yellow. Wide format for larger motor and transformer coil wrapping and bracing.","{'Color': 'Yellow', 'Width': '1 in', 'Length': '72 yd', 'Material': 'Polyester Film', 'Max Temp': '130 C', 'Thickness': '2.3 Mil'}",Roll,120,30,25.00,25.00,https://images-na.ssl-images-amazon.com/images/I/510oMYUX41L.jpg,3-5 business days,R6-08,FALSE,replit-import;replit-id-93;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0095,BAND7687010-1,Von Roll,BAND7687010-1,"Von Roll Poly Glas 76870 Polyester Banding Tape, 1 in x 250 yd",Specialty Tapes & Films,Specialty Tape,"Von Roll Poly Glas 76870 woven polyester banding tape with pressure-sensitive adhesive. 11.5 mil thickness, 1 inch wide, 250-yard roll. For binding and bracing motor coil end-turns where greater width provides added support.","{'Width': '1 in', 'Length': '250 yd', 'Material': 'Woven Polyester', 'Thickness': '11.5 Mil', 'Application': 'Coil Banding / End-Turn Bracing'}",Roll,25,6,221.10,221.10,https://www.elektrabg.com/wp-content/uploads/2023/10/vrav.jpg,3-5 business days,R6-09,FALSE,replit-import;replit-id-95;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0071,DOLEB41,Von Roll,DOLEB41,"Dolph-Spray EB-41 Air-Drying Urethane Varnish, 20 oz, Black",Electrical Insulation,Electrical Insulation,"Von Roll/John C Dolph Synthite Dolph-Spray EB-41 is a fast-drying solvent-based urethane varnish in a convenient 20 oz aerosol can. Ideal for single-phase electrical motor windings, providing excellent moisture and chemical resistance. Black finish.","{'Size': '20 oz', 'Type': 'Air-Drying Urethane Varnish', 'Color': 'Black', 'Application': 'Aerosol Spray', 'Thermal Class': 'B (130 C)'}",Can,50,12,13.85,13.85,https://arandee.co.nz/wp-content/uploads/2022/11/Sprayon_Insultating_Varnish_Clear.jpg,3-5 business days,R6-10,TRUE,replit-import;replit-id-71;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0073,A00600-SHE,Sherwin-Williams,A00600-SHE,"Sprayon EL600 Insulating Varnish, 20 oz, Clear",Electrical Insulation,Electrical Insulation,"Sherwin-Williams Sprayon EL600 is a fast-drying insulating varnish in a 20 oz aerosol can. Provides outstanding electrical insulation and moisture resistance for motor windings, transformers, and other electrical coils. Clear finish.","{'Size': '20 oz', 'Type': 'Insulating Varnish', 'Color': 'Clear', 'Application': 'Aerosol Spray', 'Dielectric Strength': '600 V/mil'}",Can,60,15,10.97,10.97,https://arandee.co.nz/wp-content/uploads/2022/11/Sprayon_Insultating_Varnish_Clear.jpg,3-5 business days,R7-01,TRUE,replit-import;replit-id-73;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0079,DC738X300MLW,Dow,DC738X300MLW,"Dow Corning 738 Xiameter Electrical Sealant, 300 mL, White",Electrical Insulation,Electrical Insulation,"Dow Corning 738 Xiameter is a one-component RTV silicone electrical sealant in a 300 mL cartridge. Provides excellent electrical insulation, weatherproofing, and sealing for cables, conduits, and electrical enclosures. White. UL listed.","{'Size': '300 mL', 'Type': 'RTV Silicone Sealant', 'Color': 'White', 'Application': 'Electrical Sealing', 'Operating Temp': '-65 C to +200 C'}",Cartridge,40,10,65.83,65.83,https://www.ellsworth.com/globalassets/catalogs/dow-corning-738-white-300ml_431x431.jpg,3-5 business days,R7-02,TRUE,replit-import;replit-id-79;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0082,NMX4102002,DuPont,NMX4102002,"DuPont Nomex 410 Paper Sheet, 20 Mil x 36 x 36 in",Electrical Insulation,Electrical Insulation,"DuPont Nomex Type 410 is a calendered aramid paper providing outstanding thermal, electrical, and mechanical properties for slot liner and wedge insulation in electric motors and transformers. 20 mil thickness, 36 x 36 inch sheet.","{'Width': '36 in', 'Length': '36 in', 'Material': 'Aramid (Nomex) Paper', 'Thickness': '20 Mil', 'Thermal Class': 'H (180 C)'}",Sheet,75,19,57.00,57.00,https://www.elangmas.com/images/product/zoom/RF20160132_-_DUPONT_Nomex_PAPER_TYPE_410_DATA_SHEET.png,3-5 business days,R7-03,TRUE,replit-import;replit-id-82;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0088,3M92X75,3M,3M92X75,"3M 92 Kapton Polyimide Tape, 3/4 in x 36 yd",Specialty Tapes & Films,Specialty Tape,"3M 92 is a polyimide film tape with silicone adhesive. Excellent high-temperature performance for electrical insulation in motors, transformers, and coil winding. Amber/golden color. Resistant to thermal aging, chemicals, and radiation.","{'Color': 'Amber', 'Width': '3/4 in', 'Adhesive': 'Silicone', 'Material': 'Polyimide Film (Kapton)', 'Max Temp': '260 C'}",Roll,45,11,62.00,62.00,https://m.media-amazon.com/images/I/51kuDog5IFL.jpg,3-5 business days,R7-04,TRUE,replit-import;replit-id-88;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0094,BAND768703-402,Von Roll,BAND768703-402,"Von Roll Poly Glas 76870 Polyester Banding Tape, 3/4 in x 250 yd",Specialty Tapes & Films,Specialty Tape,"Von Roll Poly Glas 76870 is a woven polyester banding tape with pressure-sensitive adhesive. 11.5 mil thickness, 3/4 inch wide, 250-yard roll. Used for binding and bracing motor coil end-turns. Excellent mechanical strength and heat resistance.","{'Width': '3/4 in', 'Length': '250 yd', 'Material': 'Woven Polyester', 'Thickness': '11.5 Mil', 'Application': 'Coil Banding / End-Turn Bracing'}",Roll,25,6,169.00,169.00,https://www.elektrabg.com/wp-content/uploads/2023/10/vrav.jpg,3-5 business days,R7-05,TRUE,replit-import;replit-id-94;show-price-true;remote-image-source;specialty-tapes-and-films,OK
